Reference,Verse
Moses 1:39,"39 For behold, this is my work and my glory—to bring to pass the immortality and eternal life of man."
Moses 7:18,"18 And the Lord called his people Zion, because they were of one heart and one mind, and dwelt in righteousness; and there was no poor among them."
Abraham 3:22-23,"22 Now the Lord had shown unto me, Abraham, the intelligences that were organized before the world was; and among all these there were many of the noble and great ones; 23 And God saw these souls that they were good, and he stood in the midst of them, and he said: These I will make my rulers; for he stood among those that were spirits, and he saw that they were good; and he said unto me: Abraham, thou art one of them; thou wast chosen before thou wast born."
Genesis 1:26-27,"26 And God said, Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the fowl of the air, and over the cattle, and over all the earth, and over every creeping thing that creepeth upon the earth. 27 So God created man in his own image, in the image of God created he him; male and female created he them."
Genesis 39:9,"9 There is none greater in this house than I; neither hath he kept back any thing from me but thee, because thou art his wife: how then can I do this great wickedness, and sin against God?"
Exodus 20:3–17,"3 Thou shalt have no other gods before me. 4 Thou shalt not make unto thee any graven image, or any likeness of any thing that is in heaven above, or that is in the earth beneath, or that is in the water under the earth: 5 Thou shalt not bow down thyself to them, nor serve them: for I the Lord thy God am a jealous God, visiting the iniquity of the fathers upon the children unto the third and fourth generation of them that hate me; 6 And shewing mercy unto thousands of them that love me, and keep my commandments. 7 Thou shalt not take the name of the Lord thy God in vain; for the Lord will not hold him guiltless that taketh his name in vain. 8 Remember the sabbath day, to keep it holy. 9 Six days shalt thou labour, and do all thy work: 10 But the seventh day is the sabbath of the Lord thy God: in it thou shalt not do any work, thou, nor thy son, nor thy daughter, thy manservant, nor thy maidservant, nor thy cattle, nor thy stranger that is within thy gates: 11 For in six days the Lord made heaven and earth, the sea, and all that in them is, and rested the seventh day: wherefore the Lord blessed the sabbath day, and hallowed it. 12 Honour thy father and thy mother: that thy days may be long upon the land which the Lord thy God giveth thee. 13 Thou shalt not kill. 14 Thou shalt not commit adultery. 15 Thou shalt not steal. 16 Thou shalt not bear false witness against thy neighbour. 17 Thou shalt not covet thy neighbour’s house, thou shalt not covet thy neighbour’s wife, nor his manservant, nor his maidservant, nor his ox, nor his ass, nor any thing that is thy neighbour’s."
Exodus 33:11,"11 And the Lord spake unto Moses face to face, as a man speaketh unto his friend. And he turned again into the camp: but his servant Joshua, the son of Nun, a young man, departed not out of the tabernacle."
Leviticus 19:18,"18 Thou shalt not avenge, nor bear any grudge against the children of thy people, but thou shalt love thy neighbour as thyself: I am the Lord."
Deuteronomy 7:3-4,"3 Neither shalt thou make marriages with them; thy daughter thou shalt not give unto his son, nor his daughter shalt thou take unto thy son. 4 For they will turn away thy son from following me, that they may serve other gods: so will the anger of the Lord be kindled against you, and destroy thee suddenly."
Joshua 1:8,"8 This book of the law shall not depart out of thy mouth; but thou shalt meditate therein day and night, that thou mayest observe to do according to all that is written therein: for then thou shalt make thy way prosperous, and then thou shalt have good success."
Joshua 24:15,"15 And if it seem evil unto you to serve the Lord, choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood, or the gods of the Amorites, in whose land ye dwell: but as for me and my house, we will serve the Lord."
1 Samuel 16:7,"7 But the Lord said unto Samuel, Look not on his countenance, or on the height of his stature; because I have refused him: for the Lord seeth not as man seeth; for man looketh on the outward appearance, but the Lord looketh on the heart."
Job 19:25-26,"25 For I know that my redeemer liveth, and that he shall stand at the latter day upon the earth: 26 And though after my skin worms destroy this body, yet in my flesh shall I see God:"
Psalm 24:3-4,"3 Who shall ascend into the hill of the Lord? or who shall stand in his holy place? 4 He that hath clean hands, and a pure heart; who hath not lifted up his soul unto vanity, nor sworn deceitfully."
Proverbs 3:5-6,"5 Trust in the Lord with all thine heart; and lean not unto thine own understanding. 6 In all thy ways acknowledge him, and he shall direct thy paths."
Isaiah 1:18,"18 Come now, and let us reason together, saith the Lord: though your sins be as scarlet, they shall be as white as snow; though they be red like crimson, they shall be as wool."
Isaiah 29:13-14,"13 Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, and with their lips do honour me, but have removed their heart far from me, and their fear toward me is taught by the precept of men: 14 Therefore, behold, I will proceed to do a marvellous work among this people, even a marvellous work and a wonder: for the wisdom of their wise men shall perish, and the understanding of their prudent men shall be hid."
Isaiah 53:3-5,"3 He is despised and rejected of men; a man of sorrows, and acquainted with grief: and we hid as it were our faces from him; he was despised, and we esteemed him not. 4 Surely he hath borne our griefs, and carried our sorrows: yet we did esteem him stricken, smitten of God, and afflicted. 5 But he was wounded for our transgressions, he was bruised for our iniquities: the chastisement of our peace was upon him; and with his stripes we are healed."
Isaiah 55:8-9,"8 For my thoughts are not your thoughts, neither are your ways my ways, saith the Lord. 9 For as the heavens are higher than the earth, so are my ways higher than your ways, and my thoughts than your thoughts."
Jeremiah 16:16,"16 Behold, I will send for many fishers, saith the Lord, and they shall fish them; and after will I send for many hunters, and they shall hunt them from every mountain, and from every hill, and out of the holes of the rocks."
Ezekiel 37:15-17,"15 The word of the Lord came again unto me, saying, 16 Moreover, thou son of man, take thee one stick, and write upon it, For Judah, and for the children of Israel his companions: then take another stick, and write upon it, For Joseph, the stick of Ephraim, and for all the house of Israel his companions:17 And join them one to another into one stick; and they shall become one in thine hand."
Daniel 2:44-45,"44 And in the days of these kings shall the God of heaven set up a kingdom, which shall never be destroyed: and the kingdom shall not be left to other people, but it shall break in pieces and consume all these kingdoms, and it shall stand for ever. 45 Forasmuch as thou sawest that the stone was cut out of the mountain without hands, and that it brake in pieces the iron, the brass, the clay, the silver, and the gold; the great God hath made known to the king what shall come to pass hereafter: and the dream is certain, and the interpretation thereof sure."
Amos 3:7,"7 Surely the Lord God will do nothing, but he revealeth his secret unto his servants the prophets."
Malachi 3:8-10,"8 Will a man rob God? Yet ye have robbed me. But ye say, Wherein have we robbed thee? In tithes and offerings. 9 Ye are cursed with a curse: for ye have robbed me, even this whole nation. 10 Bring ye all the tithes into the storehouse, that there may be meat in mine house, and prove me now herewith, saith the Lord of hosts, if I will not open you the windows of heaven, and pour you out a blessing, that there shall not be room enough to receive it."
Malachi 4:5-6,"5 Behold, I will send you Elijah the prophet before the coming of the great and dreadful day of the Lord: 6 And he shall turn the heart of the fathers to the children, and the heart of the children to their fathers, lest I come and smite the earth with a curse."
Matthew 5:14-16,""
Matthew 6:24,""
Matthew 16:15-19,""
Matthew 25:40,""
Luke 24:36-39,""
John 3:5,""
John 7:17,""
John 10:16,""
John 14:15,""
John 17:3,""
Acts 7:55-56,""
Romans 1:16,""
1 Corinthians 10:13,""
1 Corinthians 15:20-22,""
1 Corinthians 15:29,""
1 Corinthians 15:40-42,""
Ephesians 4:11-14,""
2 Thessalonians 2:1-3,""
2 Timothy 3:1-5,""
2 Timothy 3:16-17,""
Hebrews 5:4,""
James 1:5-6,""
James 2:17-18,""
Revelation 14:6-7,""
Revelation 20:12-13,""
1 Nephi 3:7,""
1 Nephi 19:23,""
2 Nephi 2:25,""
2 Nephi 2:27,""
2 Nephi 9:28-29,""
2 Nephi 28:7-9,""
2 Nephi 32:3,""
2 Nephi 32:8-9,""
Jacob 2:18-19,""
Mosiah 2:17,""
Mosiah 3:19,""
Mosiah 4:30,""
Alma 32:21,""
Alma 34:32-34,""
Alma 37:6-7,""
Alma 37:35,""
Alma 41:10,""
Helaman 5:12,""
3 Nephi 11:29,""
3 Nephi 27:27,""
Ether 12:6,""
Ether 12:27,""
Moroni 7:16-17,""
Moroni 7:45,""
Moroni 10:4-5,""
Joseph Smith-History 1:15-20,""
D&C 1:37-38,""
D&C 8:2-3,""
D&C 10:5,""
D&C 14:7,""
D&C 18:10, 15-16,""
D&C 19:16-19,""
D&C 25:12,""
D&C 58:26-27,""
D&C 58:42-43,""
D&C 59:9-10,""
D&C 64:9-11,""
D&C 64:23,""
D&C 76:22-24,""
D&C 82:3,""
D&C 82:10,""
D&C 84:33-39,""
D&C 88:123-24,""
D&C 89:18-21,""
D&C 121:34-36,""
D&C 130:18-19,""
D&C 130:20-21,""
D&C 130:22-23,""
D&C 131:1-4,""
D&C 137:7-10,""